a,une
build up,accumuler
bullet,balle
bunch,bouquet
burn,brûler
burn down,incendier
burnt,brûlé
burst,éclater
burst into,faire irruption dans
burst out,éclater
bury,enterrer
bus,autobus
bush,buisson
business,Entreprise
businessman,homme d'affaire
busy,occupé
but,mais
butter,beurre
button,bouton
buy,acheter
buyer,acheteur
by,par
bye,au revoir
cabinet,cabinet
cable,câble
cake,gâteau
calculate,calculer
calculation,calcul
call,appel
call back,rappeler
called,appelé
call for,demander
call off,raccroche
call up,appeler
calm,calme
calm down,calmez\\-vous
calmly,calmement
camera,caméra
camp,camp
campaign,campagne
camping,camping
can 1,peut 1
can 2,2 peut
cancel,Annuler
cancer,cancer
candidate,candidat
candy,bonbons
cannot,ne peux pas
cap,casquette
capable,capable
capacity,capacité
capital,Capitale
captain,capitaine
capture,Capturer
car,voiture
card,carte
cardboard,papier carton
care,se soucier
career,carrière
care for,s'occuper de
careful,prudent
carefully,soigneusement
careless,négligent
carelessly,négligemment
carpet,tapis
carrot,carotte
carry,porter
carry on,continuer
carry out,effectuer
case,Cas
cash,en espèces
cast,jeter
castle,Château
cat,chat
catch,capture
catch up,rattraper
category,Catégorie
cause,cause
CD,CD
cease,cesser
ceiling,plafond
celebrate,célébrer
celebration,fête
cell,cellule
cell phone,téléphone portable
cent,cent
centimetre,centimètre
central,central
centre,centre
century,siècle
ceremony,la cérémonie
certain,certain
certainly,certainement
certificate,certificat
chain,chaîne
chair,chaise
chairman,président
chairwoman,présidente
challenge,défi
chamber,chambre
chance,chance
change,changement
change round,tour changer
channel,canal
chapter,chapitre
character,personnage
characteristic,caractéristique
charge,charge
charity,charité
chart,graphique
chase,chasse
chase away,chasser
chat,bavarder
cheap,pas cher
cheaply,à bon marché
cheat,Tricher
cheat of,tricher de
check,vérifier
check in,enregistrement
check into,vérifier dans
check on,vérifier
check out,check\\-out
check over,valider
check up on,vérifier sur
cheek,joue
cheerful,de bonne humeur
cheerfully,gaiement
cheese,fromage
chemical,chimique
chemist,chimiste
chemistry,chimie
cheque,vérifier
chest,poitrine
chew,mâcher
chicken,poulet
chief,chef
child,enfant
chin,menton
chip,puce
chocolate,Chocolat
choice,choix
choose,choisir
chop,hacher
chop down,abattre
chop off,couper
church,église
cigarette,cigarette
cinema,cinéma
circle,cercle
circumstance,circonstance
citizen,citoyen
city,ville
civil,civil
claim,prétendre
clap,taper
class,classe
classic,classique
classroom,salle de cours
clean,nettoyer
clean up,nettoyer
clear,clair
clearly,clairement
clear out,évacuer
clear up,nettoyer
clerk,employé de bureau
clever,intelligent
click,Cliquez sur
client,client
climate,climat
climb,montée
climbing,escalade
clock,l'horloge
close 1,fermer 1
close 2,Fermer 2
closed,fermé
closely,étroitement
closet,placard
cloth,tissu
clothes,vêtements
clothing,Vêtements
cloud,nuage
club,club
coach,entraîneur
coal,charbon
coast,côte
coat,manteau
code,code
coffee,café
coin,pièce de monnaie
cold,du froid
coldly,froidement
collapse,effondrer
colleague,collègue
collect,collecte
collection,collection
college,Université
colour,Couleur
coloured,coloré
column,colonne
combination,combinaison
combine,combiner
come,viens
come across,rencontrer
come down,calme toi
comedy,la comédie
come from,viens de
come in,entrez
come off,se détacher
come on,Allons
come out,sortir
come round,fais demi\\-tour
come to,venir à
come up,montez
come up to,venir à
comfort,confort
comfortable,confortable
comfortably,confortablement
command,commander
comment,commentaire
commercial,commercial
commission,commission
commit,commettre
commitment,engagement
committee,Comité
common,commun
commonly,communément
communicate,communiquer
communication,la communication
community,communauté
company,compagnie
compare,comparer
comparison,Comparaison
compete,rivaliser
competition,compétition
competitive,compétitif
complain,se plaindre
complaint,plainte
complete,Achevée
completely,complètement
complex,complexe
complicate,compliquer
complicated,compliqué
computer,ordinateur
concentrate,concentrer
concentrate on,se concentrer sur
concentration,concentration
concept,concept
concern,préoccupation
concerned,concerné
concerning,concernant
concert,concert
conclude,conclure
conclusion,conclusion
concrete,béton
condition,état
conduct,conduite
conduct,conduite
conference,conférence
confidence,confiance
confident,sur de soi
confidently,en toute confiance
confine,confiner
confined,confiné
confirm,confirmer
conflict,conflit
confront,affronter
confuse,embrouiller
confused,confus
confusing,déroutant
confusion,confusion
congratulate,féliciter
congratulation,félicitation
congress,congrès
connect,relier
connected,lié
connection,lien
conscious,conscient
consequence,conséquence
conservative,conservateur
consider,considérer
considerable,considérable
considerably,considérablement
consideration,considération
consist,consister
consist of,consister en
constant,constant
constantly,constamment
construct,construction
construction,construction
consult,consulter
consumer,consommateur
contact,contact
contain,contenir
container,récipient
contemporary,contemporain
content 1,teneur en 1
contest,concours
context,le contexte
continent,continent
continue,continuer
continuous,continu
continuously,en continu
contract,Contrat
contract,Contrat
contrast,contraste
contrast,contraste
contrasting,contrastant
contribute,contribuer
contribution,contribution
control,contrôle
controlled,contrôlée
convenient,pratique
convention,convention
conventional,conventionnel
conversation,conversation
convert,convertir
convince,convaincre
cook,cuisinier
cooker,cuisinier
cookie,biscuit
cooking,cuisine
cool,cool
cool down,refroidir
cope,chape
copy,copie
core,coeur
corner,coin
correct,correct
correctly,correctement
cost,Coût
cottage,chalet
cotton,coton
cough,toux
coughing,tousser
could,pourrait
council,conseil
count,compter
counter,compteur
count on,compter sur
country,pays
countryside,campagne
county,comté
couple,couple
courage,courage
course,cours
court,tribunal
cousin,cousin
cover,couverture
covered,couvert
covering,couvrant
cover up,Couvrir
cow,vache
crack,fissure
cracked,fissuré
craft,artisanat
crash,crash
crazy,fou
cream,crème
create,créer
creature,créature
credit,crédit
credit card,carte de crédit
crime,la criminalité
criminal,criminel
crisis,crise
crisp,croustillant
criterion,critère
critical,critique
criticism,critique
criticize,critiquer
crop,surgir
cross,traverser
cross out,barrer
crowd,foule
crowded,bondé
crown,couronne
crucial,crucial
cruel,cruel
crush,écraser
cry,pleurer
cry out,exclamer
cultural,culturel
culture,culture
cup,tasse
cupboard,placard
curb,freiner
cure,guérir
curious,curieuse
curiously,avec curiosité
curl,boucle
curl up,se pelotonner
curly,frisé
current,actuel
currently,actuellement
curtain,rideau
curve,courbe
curved,incurvé
custom,Douane
customer,client
customs,douane
cut,Couper
cut back,réduire
cut down,réduire
cut off,couper
cut out,coupé
cut up,découper
cycle,cycle
cycling,cyclisme
dad,papa
daily,du quotidien
damage,dommage
damp,humide
dance,Danse
dancer,Danseur
dancing,dansant
danger,danger
dangerous,dangereux
dare,oser
dark,sombre
data,Les données
date,Date
date back,Retour Date
daughter,fille
day,journée
dead,morte
deaf,sourd
deal,traiter
deal in,traiter dans
deal with,traiter avec
dear,chère
death,mort
debate,débat
debt,dette
decade,décennie
decay,pourriture
December,décembre
decide,décider
decide on,décider
decision,décision
declare,déclarer
decline,déclin
decorate,décorer
decoration,décoration
decorative,décoratif
decrease,diminution
deep,Profond
deeply,profondément
defeat,défaite
defence,la défense
defend,défendre
define,définir
definite,précis
definitely,absolument
definition,définition
degree,degré
delay,retard
deliberate,délibérer
deliberately,délibérément
delicate,délicat
delight,délice
delighted,Enchanté
deliver,livrer
delivery,livraison
demand,demande
demonstrate,démontrer
dentist,dentiste
deny,Nier
department,département
departure,Départ
depend,dépendre
depend on,dépend de
deposit,dépôt
depress,déprimer
depressed,déprimé
depressing,déprimant
depth,profondeur
derive,dériver
derive from,tirer de
describe,décris
description,la description
desert,désert
desert,désert
deserted,déserté
deserve,mériter
design,conception
desire,envie
desk,bureau
desperate,désespéré
desperately,désespérément
despite,malgré
destroy,détruire
destruction,destruction
detail,détail
detailed,détaillé
determination,détermination
determine,déterminer
determined,déterminé
develop,développer
development,développement
device,dispositif
devote,consacrer
devoted,dévoué
devote to,dévoué à
diagram,diagramme
diamond,diamant
diary,journal intime
dictionary,dictionnaire
die,mourir
die away,dépérir
die out,disparaître
diet,régime
difference,différence
different,différent
differently,différemment
difficult,difficile
difficulty,difficulté
dig,creuser
digital,numérique
dinner,dîner
direct,direct
direction,direction
directly,directement
director,réalisateur
dirt,saleté
dirty,sale
disabled,désactivé
disadvantage,désavantage
disagree,être en désaccord
disagreement,désaccord
disagree with doing,en désaccord avec faire
disappear,disparaître
disappoint,décevoir
disappointed,déçu
disappointing,décevant
disappointment,déception
disapproval,désapprobation
disapprove,désapprouver
disapproving,désapprobateur
disaster,catastrophe
disc,disque
discipline,la discipline
discount,remise
discover,découvrir
discovery,Découverte
discuss,discuter
discussion,discussion
disease,maladie
disgust,dégoûter
disgusted,dégoûté
disgusting,répugnant
dish,plat
dishonest,malhonnête
dishonestly,malhonnêtement
disk,disque
dislike,Ne pas aimer
dismiss,rejeter
display,afficher
dissolve,dissoudre
distance,distance
distinguish,distinguer
distribute,distribuer
distribution,Distribution
district,district
disturb,déranger
disturbing,inquiétant
divide,diviser
division,division
divorce,divorce
divorced,divorcé
do 1,faire 1
doctor,docteur
document,document
dog,chien
dollar,dollar
domestic,national
dominate,dominer
door,porte
dot,point
double,double
doubt,doute
do up,boutonner
do with,faire avec
do without,faire sans
down,vers le bas
downstairs,en bas
downward,vers le bas
downwards,vers le bas
dozen,douzaine
draft,Brouillon
drag,traîne
drama,drame
dramatic,spectaculaire
dramatically,de façon spectaculaire
draw,dessiner
drawer,tiroir
drawing,dessin
dream,rêver
dress,robe
dressed,habillé
dress up,s'habiller
drink,boisson
drive,conduire
drive away,s'en aller en voiture
drive off,chasser
driver,chauffeur
driving,conduite
drop,laissez tomber
drop out,abandonner
drug,médicament
drugstore,pharmacie
drum,tambour
drunk,ivre
dry,sec
dry off,se sécher
dry up,sécher
due,dû
dull,terne
dump,déverser
during,pendant
dust,poussière
duty,devoir
DVD,DVD
dying,en train de mourir
each,chaque
each other,L'une et l'autre
ear,oreille
early,de bonne heure
earn,gagner
earth,Terre
ease,facilité
easily,facilement
east,est
eastern,est
easy,facile
eat,manger
eat out,aller au restaurant
eat up,dévorer
economic,économique
economy,économie
edge,bord
edition,édition
editor,éditeur
educate,éduquer
educated,cultivé
education,éducation
effect,effet
effective,efficace
effectively,effectivement
efficient,efficace
efficiently,efficacement
effort,effort
e.g.,par exemple.
egg,Oeuf
eight,huit
eighteen,dix\\-huit
eighteenth,dix\\-huitième
eighth,huitième
eightieth,quatre\\-vingtième
eighty,quatre\\-vingts
either,Soit
elbow,coude
elderly,personne âgée
elect,élire
election,élection
electric,électrique
electrical,électrique
electricity,électricité
electronic,électronique
elegant,élégant
element,élément
elevator,ascenseur
eleven,Onze
eleventh,onzième
else,autre
elsewhere,autre part
email,email
embarrass,embarrasser
embarrassed,embarrassé
embarrassing,gênant
embarrassment,embarras
emerge,émerger
emergency,urgence
emotion,émotion
emotional,émotif
emotionally,émotionnellement
emphasis,accentuation
emphasize,souligner
empire,Empire
employ,employer
employee,employé
employer,employeur
employment,emploi
empty,vide
enable,activer
encounter,rencontre
encourage,encourager
encouragement,encouragement
end,fin
end in,end
ending,fin
end up,finir
enemy,ennemi
energy,énergie
engage,engager
engaged,engagé
engine,moteur
engineer,ingénieur
engineering,ingénierie
enjoy,prendre plaisir
enjoyable,agréable
enjoyment,jouissance
enormous,énorme
enough,assez
enquiry,enquête
ensure,assurer
enter,entrer
entertain,divertir
entertainer,artiste
entertaining,divertissant
entertainment,divertissement
enthusiasm,enthousiasme
enthusiastic,enthousiaste
enthusiastically,avec enthousiasme
entire,tout
entirely,entièrement
entitle,habiliter
entrance 1,entrée 1
entry,entrée
envelope,enveloppe
environment,environnement
environmental,écologique
equal,égal
equally,également
equipment,équipement
equivalent,équivalent
error,Erreur
escape,échapper
especially,surtout
essay,rédaction
essential,essentiel
essentially,essentiellement
establish,établir
estate,biens
estimate,estimation
etc.,etc.
euro,euro
even,même
evening,soirée
event,un événement
eventually,finalement
ever,déjà
every,chaque
everybody,Tout le monde
everyone,toutes les personnes
everything,tout
everywhere,partout
evidence,preuve
evil,mal
ex\\-,ex\\-
exact,exact
exactly,exactement
exaggerate,exagérer
exaggerated,exagéré
exam,examen
examination,examen
examine,examiner
example,exemple
excellent,excellent
except,sauf
exception,exception
exchange,échange
excite,exciter
excited,excité
excitement,excitation
exciting,passionnant
exclude,exclure
excluding,à l'exclusion
excuse,excuse
excuse,excuse
executive,exécutif
exercise,exercice
exhibit,exposition
exhibition,exposition
exist,exister
existence,existence
exit,sortie
expand,développer
expect,attendre
expectation,attente
expected,attendu
expense,frais
expensive,coûteux
experience,expérience
experienced,expérimenté
experiment,expérience
expert,expert
explain,Explique
explanation,explication
explode,exploser
explore,explorer
explosion,explosion
export,exportation
export,exportation
expose,exposer
express,Express
expression,expression
extend,étendre
extension,extension
extensive,extensif
extent,Le degré
extra,supplémentaire
extraordinary,extraordinaire
extreme,extrême
extremely,extrêmement
eye,œil
face,visage
face up to,faire face à
facility,établissement
fact,fait
factor,facteur
factory,usine
fail,échouer
failure,échec
faint,perdre connaissance
faintly,faiblement
fair,juste
fairly,équitablement
faith,Foi
faithful,fidèle
faithfully,fidèlement
fall,tomber
FALSE,FAUX
fame,la célébrité
familiar,familier
family,famille
famous,célèbre
fan,ventilateur
fancy,fantaisie
far,loin
farm,ferme
farmer,agriculteur
farming,agriculture
farther,plus loin
farthest,le plus éloigné
fashion,mode
fashionable,à la mode
fast,vite
fasten,boucler
fat,graisse
father,père
faucet,robinet
fault,faute
favour,favoriser
favourite,préféré
fear,peur
feather,plume
feature,fonctionnalité
February,février
federal,fédéral
fee,frais
feed,alimentation
feel,ressentir
feeling,sentiment
fellow,compagnon
female,femelle
fence,clôture
festival,Festival
fetch,apporter
fever,fièvre
few,peu
field,champ
fifteen,quinze
fifteenth,quinzième
fifth,cinquième
fiftieth,cinquantième
fifty,cinquante
fight,bats toi
fighting,combat
figure,figure
figure out,comprendre
file,fichier
fill,remplir
fill in,remplir
fill out,remplir
fill up,remplir
film,film
final,final
finally,enfin
finance,la finance
financial,financier
find,trouver
find out,trouver
fine,bien
finely,finement
finger,doigt
finish,terminer
finished,fini
finish off,finir
fire,Feu
firm,raffermir
firmly,fermement
first,première
fish,poisson
fishing,pêche
fit,en forme
fit in,tenir dans
five,cinq
fix,réparer
fixed,fixé
flag,drapeau
flame,flamme
flash,éclat
flat,plat
flavour,saveur
flesh,la chair
flight,vol
float,flotte
flood,inonder
flooded,inondé
flooding,inondation
floor,sol
flour,farine
flow,couler
flower,fleur
flu,grippe
fly,mouche
flying,en volant
focus,concentrer
fold,plier
folding,pliant
follow,suivre
following,Suivant
follow up,suivre
food,aliments
foot,pied
football,Football
for,pour
force,Obliger
forecast,prévoir
foreign,étranger
forest,forêt
forever,pour toujours
forget,oublier
forgive,pardonner
fork,fourchette
form,forme
formal,formel
formally,officiellement
former,ancien
formerly,Auparavant
formula,formule
fortieth,quarantième
fortune,fortune
forty,quarante
forward,vers l'avant
found,a trouvé
foundation,fondation
four,quatre
fourteen,Quatorze
fourteenth,quatorzième
fourth,Quatrième
frame,Cadre
free,libre
freedom,liberté
freely,librement
freeze,Geler
frequent,fréquent
frequently,fréquemment
fresh,Frais
freshly,fraîchement
Friday,Vendredi
fridge,frigo
friend,ami
friendly,amical
friendship,relation amicale
frighten,effrayer
frighten away/off,effaroucher / off
frightened,effrayé
frightening,effrayant
from,de
front,de face
frozen,congelé
fruit,fruit
fry,frire
fuel,carburant
full,plein
fully,pleinement
fun,amusement
function,fonction
function as,fonctionne comme
fund,fonds
fundamental,fondamental
funeral,funérailles
funny,drôle
fur,fourrure
furniture,meubles
further,plus loin
future,futur
gain,Gain
gallon,gallon
gamble,pari
gambling,jeux d'argent
game,Jeu
gap,écart
garage,garage
garbage,des ordures
garden,jardin
gas,gaz
gasoline,de l'essence
gate,porte
gather,recueillir
gear,équipement
general,général
generally,généralement
generate,produire
generation,génération
generous,généreuse
generously,généreusement
gentle,doux
gentleman,gentilhomme
gently,doucement
genuine,véritable
genuinely,vraiment
geography,géographie
get,avoir
get away,va\\-t\\-en
get away with,échapper à
get back,revenir
get by,se débrouiller
get in,entrer
get into,entrer dans
get off,descendez
get on,monter
get on with,obtenir avec
get out of,sors de
get over,surmonter
get round,contourner
get round to,à contourner
get through,traverser
get up,se lever
giant,géant
gift,cadeau
girl,fille
girlfriend,petite amie
give,donner
give away,révéler
give back,redonner
give in,donner
give off,dégager
give out,abandonner
give up,abandonner
glad,heureux
glass,verre
global,global
glove,gant
glue,la colle
go,aller
go ahead,aller de l'avant
goal,objectif
go away,allez\\-vous en
go back,retourner
go back to,revenir à
go by,passer
god,Dieu
go down,descendre
go into,entrer dans
gold,or
good,bien
goodbye,Au revoir
goods,des biens
go off,Partir
go on,continue
go on doing,continuer à faire
go out,sortir
go out with,sortir avec
go over,passer
go round,faire le tour
go through,traverser
go through with,aller jusqu'au bout
go to,aller à
go up,monter
govern,gouverne
government,gouvernement
governor,gouverneur
go with,aller avec
go without,aller sans
grab,saisir
grade,classe
gradual,graduel
gradually,progressivement
grain,grain
gram,gramme
grammar,grammaire
grand,grandiose
grandchild,petit enfant
granddaughter,petite fille
grandfather,grand\\-père
grandmother,grand\\-mère
grandparent,grand\\-parent
grandson,petit fils
grant,subvention
grass,herbe
grateful,reconnaissant
grave 1,tombe 1
gravely,gravement
great,génial
greatly,très
green,vert
grey,gris
grocery,épicerie
ground,sol
group,groupe
grow,grandir
growth,croissance
grow up,grandir
guarantee,garantie
guard,garde
guess,devine
guest,client
guide,guider
guilty,coupable
gun,pistolet
guy,gars
habit,habitude
hair,cheveux
hairdresser,coiffeur
half,moitié
hall,salle
hammer,marteau
hand,main
hand back,rendre
hand down,transmettre
hand in,main
handle,manipuler
hand out,distribuer
hand over,remettre
hand round,tour de main
hang,pendre
hang about,attendre
hang about with,lanterner avec
hang around,Traîner
hang around with,traîner avec
hang on,attendre
hang on to,S'accrocher à
hang up,Raccrocher
happen,se produire
happen to,arriver à
happily,Heureusement
happiness,bonheur
happy,heureux
hard,dur
hardly,à peine
harm,nuire
harmful,nocif
harmless,sans danger
hat,chapeau
hate,haine
hatred,haine
have,avoir
have back,faire revenir
have on,avoir sur
have to,devoir
he,il
head,tête
headache,mal de crâne
heal,guérir
health,santé
healthy,en bonne santé
hear,entendre
hear from,entendu de
hearing,audition
hear of,entendre des
heart,cœur
heat,chaleur
heating,chauffage
heat up,chauffer
heaven,paradis
heavily,fortement
heavy,lourd
heel,talon
height,la taille
hell,enfer
hello,Bonjour
help,Aidez\\-moi
helpful,utile
help out,venir en aide
hence,Par conséquent
her,sa
here,ici
hero,héros
hers,la sienne
herself,se
hesitate,hésiter
hi,salut
hide,cacher
high,haute
highlight,surligner
highly,très
highway,Autoroute
hill,colline
him,lui
himself,lui\\-même
hip,hanche
hire,louer
hire out,embaucher des
his,le sien
historical,historique
history,l'histoire
hit,frappé
hobby,loisir
hold,tenir
hold back,attente de retour
hold on,attendez
hold on to,s'accrocher
hold out,résistant
hold up,braquage
hole,trou
holiday,vacances
hollow,creux
holy,saint
home,Accueil
homework,devoirs
honest,honnête
honestly,honnêtement
honour,honneur
hook,crochet
hope,espérer
horizontal,horizontal
horn,klaxon
horror,horreur
horse,cheval
hospital,hôpital
host,hôte
hot,chaud
hotel,Hôtel
hour,heure
house,maison
household,Ménage
housing,logement
how,Comment
however,toutefois
huge,énorme
human,Humain
humorous,humoristique
humour,humour
hundred,cent
hundredth,centième
hungry,faim
hunt,chasse
hunting,chasse
hurry,se dépêcher
hurry up,Dépêchez\\-vous
hurt,blesser
husband,mari
I,je
ice,la glace
ice cream,crème glacée
idea,idée
ideal,idéal
identify,identifier
identify with,Identifiez\\-vous avec
identity,identité
i.e.,c'est à dire.
if,si
ignore,ignorer
ill,mauvais
illegal,illégal
illegally,illégalement
illness,maladie
illustrate,illustrer
image,image
imaginary,imaginaire
imagination,imagination
imagine,imaginer
immediate,immédiat
immediately,immédiatement
immoral,immoral
impact,impact
impatient,impatient
implication,implication
imply,impliquer
import,importer
import,importer
importance,importance
important,important
importantly,important
impose,imposer
impossible,impossible
impress,impressionner
impressed,impressionné
impression,impression
impressive,impressionnant
improve,améliorer
improvement,amélioration
in,dans
inability,incapacité
inch,pouce
incident,incident
include,comprendre
including,comprenant
income,le revenu
increase,augmenter
increasingly,de plus en plus
indeed,En effet
independence,indépendance
independent,indépendant
independently,indépendamment
index,indice
indicate,indiquer
indication,indication
indirect,indirect
indirectly,indirectement
individual,individuel
indoor,intérieur
indoors,à l'intérieur
industrial,industriel
industry,industrie
inevitable,inévitable
inevitably,inévitablement
infect,infecter
infected,infecté
infection,infection
infectious,infectieux
influence,influence
inform,informer
informal,informel
information,information
ingredient,ingrédient
initial,initiale
initially,initialement
initiative,initiative
injure,blesser
injured,blessé
injury,blessure
ink,encre
inner,interne
innocent,innocent
insect,insecte
insert,insérer
inside,à l'intérieur
insist,insister
insist on,insister sur
insist on doing,insister pour faire
install,installer
instance,exemple
instead,au lieu
instead of,au lieu de
institute,institut
institution,institution
instruction,instruction
instrument,instrument
insult,insulter
insulting,insultant
insurance,Assurance
intelligence,intelligence
intelligent,intelligente
intend,avoir l'intention
intended,prévu
intention,intention
interest,intérêt
interested,intéressé
interesting,intéressant
interior,intérieur
internal,interne
international,international
Internet,l'Internet
interpret,interpréter
interpretation,interprétation
interrupt,interrompre
interruption,interruption
interval,intervalle
interview,entrevue
into,dans
introduce,présenter
introduction,introduction
